,Latitude,Longitude,City,Cloudiness,Country,Date,Humidity,Max Temp,Wind Speed
0,48.05268776390906,31.131445195150263,Lysa Hora,15.0,UA,1563025519.0,57.0,67.78,4.21
1,41.768515386622965,41.5758506972802,Makhinjauri,75.0,GE,1563025520.0,69.0,75.2,5.82
2,-0.17831907298163685,-65.51501958830433,Santa Isabel do Rio Negro,51.0,BR,1563025521.0,75.0,82.72,4.52
3,-63.038397516982336,91.82156070183879,Busselton,0.0,AU,1563025043.0,59.0,45.32,16.6
4,26.122312143720478,102.77533527389693,Kunming,75.0,CN,1563025523.0,93.0,62.6,8.95
5,51.456656807197845,-96.26390330681964,Gimli,0.0,CA,1563025029.0,71.0,64.92,3.0
6,-40.15500844280557,18.234611394861616,Hermanus,0.0,ZA,1563024933.0,70.0,66.99,4.0
7,-71.7222335382636,-126.57083361257585,Rikitea,27.0,PF,1563025281.0,84.0,74.44,13.73
8,2.294911557019688,39.001050169442664,Marsabit,85.0,KE,1563025043.0,28.0,92.26,16.78
9,-26.855735970414187,17.683562713463857,Keetmanshoop,0.0,NA,1563025525.0,11.0,82.4,12.75
11,-9.120900323605198,-154.78596048200845,Faanui,0.0,PF,1563025071.0,73.0,77.5,6.08
12,30.516200348994744,50.72052084578405,Do Gonbadan,0.0,IR,1563025525.0,10.0,109.4,13.87
13,61.38253214419174,-162.80739874095505,Bethel,90.0,US,1563025077.0,100.0,54.95,4.16
14,86.1859432006411,170.07104611719274,Pevek,93.0,RU,1563025113.0,96.0,37.54,3.74
15,-36.673250526881525,-41.59021498849478,Cidreira,91.0,BR,1563025072.0,85.0,65.62,6.85
16,-19.539444671925622,-168.58971320809474,Alofi,55.0,NU,1563025133.0,94.0,69.8,6.93
17,24.304167129980527,34.41536903746842,Aswan,0.0,EG,1563025527.0,8.0,111.2,11.41
19,-54.85943716352756,-109.83845080874572,Castro,0.0,CL,1563025048.0,100.0,42.8,11.41
20,-75.25609754681486,73.79536261967732,Saint-Philippe,90.0,RE,1563025075.0,49.0,69.08,8.05
21,-71.60752295788924,119.26409575583642,Albany,90.0,AU,1563025073.0,76.0,53.6,6.93
23,89.70655511418826,-144.4753207888408,Barrow,1.0,US,1563025065.0,73.0,76.89,4.59
24,-30.633775278607672,121.4658724399759,Esperance,40.0,AU,1563025094.0,81.0,50.0,5.82
25,-31.37225534845271,135.82160881988256,Flinders,0.0,AU,1563025529.0,65.0,49.03,18.34
